id,q_entrance,q_exit,loss,optimal,is_source
301,0.23860429,0.193284241,0.045320048,0.23860429,0
292,0.652662374,0.770453614,-0.117791239,0.652662374,0
293,0.129595706,0.015705953,0.113889754,0.129595706,0
299,0.352497437,3.682958039,-3.330460601,0.352497437,0
302,8.063952236,10.01039546,-1.946443223,8.063952236,0
269,2.63947434,3.223962065,-0.584487725,2.63947434,0
270,0,0,0,0,0
303,0.832108934,0.146552862,0.685556072,0.832108934,0
304,0.113257862,0.113257862,0,0.113257862,0
307,0,0,0,0,0
308,0.406254751,0.226240945,0.180013805,0.406254751,0
305,0.821716184,2.92861633,-2.106900145,0.821716184,0
306,1.06903353,0.025451815,1.043581715,1.06903353,0
323,0,0,0,0,0
313,0.017149268,0.000409276,0.016739991,0.017149268,0
314,0.166791154,0.107516502,0.059274652,0.166791154,0
309,0,0,0,0,0
310,0.124324226,0.229008331,-0.104684105,0.124324226,0
317,0,0,0,0,0
318,0,0,0,0,0
311,0.045589634,3.123442504,-3.07785287,0.045589634,0
312,0.176334753,4.558953587,-4.382618834,0.176334753,0
319,0,0,0,0,0
320,0,0,0,0,0
315,0.251415426,0.031976603,0.219438824,0.251415426,0
316,0.167107017,0.00139257,0.165714447,0.167107017,0
329,8.644173282,18.77707007,-10.13289679,8.644173282,0
330,10.90102527,29.23563326,-18.33460799,10.90102527,0
324,0,0,0,0,0
325,0,3.01E-15,-3.01E-15,0,0
321,0.009699249,0.009699249,0,0.009699249,0
322,0.064307364,1.05E-13,0.064307364,0.064307364,0
331,24.94819027,15.93400405,9.014186224,24.94819027,1
332,0,0,0,0,0
333,22.8951703,121.0929922,-98.19782188,22.8951703,0
334,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
335,56.95017823,17.8086627,39.14151554,56.95017823,0
336,8.358034321,1.861343673,6.496690648,8.358034321,0
337,0,0,0,0,0
338,0,0,0,0,0
328,0,0,0,0,0
339,32.77938385,48.16751646,-15.38813261,32.77938385,0
340,2.827532718,3.445392257,-0.617859538,2.827532718,0
341,0,0,0,0,0
342,0,0,0,0,0
343,36.20101974,40.94150684,-4.740487098,36.20101974,0
344,6.588855537,1.344049731,5.244805806,6.588855537,0
351,7.54154811,7.389398812,0.152149298,7.54154811,0
352,2.213369278,1.993150219,0.220219059,2.213369278,0
345,47.29540346,29.29669066,17.99871281,47.29540346,0
346,0,4.782699577,-4.782699577,0,0
353,5.4760283,0.542997582,4.933030718,5.4760283,0
354,2.692250723,2.998505275,-0.306254551,2.692250723,0
347,16.37694331,16.37694331,0,16.37694331,0
349,3.156886473,3.297081649,-0.140195176,3.156886473,0
355,0.353331906,0,0.353331906,0.353331906,0
356,9.945545483,9.58748859,0.358056893,9.945545483,0
357,0.031976618,2.618232667,-2.586256049,0.031976618,0
358,0.094473859,4.27E-15,0.094473859,0.094473859,0
359,0.657769065,3.547538605,-2.88976954,0.657769065,0
360,1.083189397,2.375751538,-1.29256214,1.083189397,0
348,52.68265312,0,52.68265312,52.68265312,0
350,10.2550755,15.67766527,-5.422589774,10.2550755,0
361,4.704184113,4.704184113,0,4.704184113,0
362,3.19275021,4.13881598,-0.946065771,3.19275021,0
363,1.640526237,4.007388845,-2.366862608,1.640526237,0
364,3.556793794,2.020289747,1.536504047,3.556793794,0
371,0,0.746917004,-0.746917004,0,0
372,1.862896456,3.36979936,-1.506902903,1.862896456,0
367,0,0,0,0,0
368,4.595802082,3.975827593,0.619974489,4.595802082,0
365,2.281485343,2.905987363,-0.62450202,2.281485343,0
366,2.445133461,0.312075603,2.133057858,2.445133461,0
369,17.94301585,0.09689012,17.84612573,17.94301585,0
370,8.1742188,0.163008304,8.011210496,8.1742188,0
373,2.213547661,2.479211648,-0.265663987,2.213547661,0
374,0.338939903,0.07186681,0.267073093,0.338939903,0
375,6.957779824,7.057262597,-0.099482773,6.957779824,0
376,5.465649179,0.635126582,4.830522597,5.465649179,0
377,0.811353399,1.327703383,-0.516349984,0.811353399,0
378,2.200680002,2.571463113,-0.37078311,2.200680002,0
379,2.639101936,1.134926003,1.504175932,2.639101936,0
